v(drain) v(gate) v(source) i(vd) i(vg) i(vs) i(vb)
0.0 1.1 0.0 8.558463e-12 -3.37712e-11 8.558463e-12 1.665338e-11
0.05 1.1 0.0 -8.99475e-06 -3.45475e-11 8.994767e-06 1.812613e-11
0.1 1.1 0.0 -1.707e-05 -3.55236e-11 1.707006e-05 1.971874e-11
0.15 1.1 0.0 -2.42635e-05 -3.67262e-11 2.426349e-05 2.143961e-11
0.2 1.1 0.0 -3.06035e-05 -3.81482e-11 3.060349e-05 2.329765e-11
0.25 1.1 0.0 -3.61018e-05 -3.97877e-11 3.610177e-05 2.530225e-11
0.3 1.1 0.0 -4.07438e-05 -4.16511e-11 4.074386e-05 2.74635e-11
0.35 1.1 0.0 -4.44882e-05 -4.37481e-11 4.448819e-05 2.979222e-11
0.4 1.1 0.0 -4.73191e-05 -4.60965e-11 4.731915e-05 3.229983e-11
0.45 1.1 0.0 -4.93627e-05 -4.87006e-11 4.936273e-05 3.499755e-11
0.5 1.1 0.0 -5.08742e-05 -5.15588e-11 5.087419e-05 3.789601e-11
0.55 1.1 0.0 -5.20809e-05 -5.46638e-11 5.208087e-05 4.100596e-11
0.6 1.1 0.0 -5.31193e-05 -5.80203e-11 5.311927e-05 4.43388e-11
0.65 1.1 0.0 -5.40614e-05 -6.16289e-11 5.406137e-05 4.79066e-11
0.7 1.1 0.0 -5.49452e-05 -6.55014e-11 5.494519e-05 5.172194e-11
0.75 1.1 0.0 -5.57918e-05 -6.96438e-11 5.579177e-05 5.579788e-11
0.8 1.1 0.0 -5.66134e-05 -7.40714e-11 5.661346e-05 6.014785e-11
0.85 1.1 0.0 -5.74179e-05 -7.87903e-11 5.741795e-05 6.47857e-11
0.9 1.1 0.0 -5.82104e-05 -8.38192e-11 5.821045e-05 6.972558e-11
0.95 1.1 0.0 -5.8995e-05 -8.91696e-11 5.899499e-05 7.498203e-11
1.0 1.1 0.0 -5.97753e-05 -9.48548e-11 5.977529e-05 8.056988e-11
1.05 1.1 0.0 -6.05554e-05 -1.00887e-10 6.055546e-05 8.65043e-11
1.1 1.1 0.0 -6.13404e-05 -1.0728e-10 6.134044e-05 9.280078e-11
0.0 1.1 0.05 8.994767e-06 -3.45475e-11 -8.99475e-06 1.812613e-11
0.05 1.1 0.05 6.771779e-12 -2.08313e-11 6.771779e-12 7.287789e-12
0.1 1.1 0.05 -8.715e-06 -2.09424e-11 8.715015e-06 7.965636e-12
0.15 1.1 0.05 -1.64521e-05 -2.11804e-11 1.645208e-05 8.703534e-12
0.2 1.1 0.05 -2.32535e-05 -2.15659e-11 2.325356e-05 9.506395e-12
0.25 1.1 0.05 -2.91491e-05 -2.20899e-11 2.914915e-05 1.037954e-11
0.3 1.1 0.05 -3.41459e-05 -2.27516e-11 3.414586e-05 1.132878e-11
0.35 1.1 0.05 -3.82197e-05 -2.35554e-11 3.821972e-05 1.236059e-11
0.4 1.1 0.05 -4.13406e-05 -2.45084e-11 4.134059e-05 1.34821e-11
0.45 1.1 0.05 -4.35832e-05 -2.56186e-11 4.358324e-05 1.470061e-11
0.5 1.1 0.05 -4.51924e-05 -2.68825e-11 4.519237e-05 1.602278e-11
0.55 1.1 0.05 -4.6434e-05 -2.82929e-11 4.643402e-05 1.745508e-11
0.6 1.1 0.05 -4.74783e-05 -2.98463e-11 4.747829e-05 1.900458e-11
0.65 1.1 0.05 -4.84138e-05 -3.15428e-11 4.841384e-05 2.0679e-11
0.7 1.1 0.05 -4.92859e-05 -3.33875e-11 4.928587e-05 2.248667e-11
0.75 1.1 0.05 -5.01185e-05 -3.53824e-11 5.011853e-05 2.443645e-11
0.8 1.1 0.05 -5.09255e-05 -3.75397e-11 5.09255e-05 2.653763e-11
0.85 1.1 0.05 -5.17151e-05 -3.98614e-11 5.171507e-05 2.879996e-11
0.9 1.1 0.05 -5.24926e-05 -4.23599e-11 5.249261e-05 3.123364e-11
0.95 1.1 0.05 -5.3262e-05 -4.50475e-11 5.326203e-05 3.384926e-11
1.0 1.1 0.05 -5.40267e-05 -4.79314e-11 5.40267e-05 3.665784e-11
1.05 1.1 0.05 -5.47901e-05 -5.10187e-11 5.479014e-05 3.967081e-11
1.1 1.1 0.05 -5.55565e-05 -5.43201e-11 5.555649e-05 4.29e-11
