v(drain) v(gate) v(source) i(vd) i(vg) i(vs) i(vb)
0.0 0.0 0.0 8.066321e-18 1.511165e-15 8.066321e-18 -1.4988e-15
0.05 0.0 0.0 -6.78782e-14 3.976307e-14 2.964246e-14 -1.4988e-15
0.1 0.0 0.0 -3.00656e-13 4.005473e-14 2.621289e-13 -1.4988e-15
0.15 0.0 0.0 -2.08016e-12 1.41186e-14 2.067567e-12 -1.4988e-15
0.2 0.0 0.0 -1.59183e-11 5.027073e-14 1.586953e-11 -1.4988e-15
0.25 0.0 0.0 -1.19228e-10 1.499117e-13 1.1908e-10 -1.4988e-15
0.3 0.0 0.0 -8.63943e-10 3.059941e-13 8.636383e-10 -1.4988e-15
0.35 0.0 0.0 -5.88238e-09 5.334494e-13 5.881846e-09 -1.58207e-15
0.4 0.0 0.0 -3.58724e-08 8.605464e-13 3.587152e-08 -1.60982e-15
0.45 0.0 0.0 -1.87983e-07 1.391588e-12 1.879815e-07 -2.33147e-15
0.5 0.0 0.0 -8.24187e-07 2.52943e-12 8.241847e-07 -4.996e-15
0.55 0.0 0.0 -2.78665e-06 4.784057e-12 2.786642e-06 -1.33782e-14
0.6 0.0 0.0 -6.8472e-06 8.147063e-12 6.847194e-06 -3.2585e-14
0.65 0.0 0.0 -1.29014e-05 1.264043e-11 1.290143e-05 -6.88616e-14
0.7 0.0 0.0 -2.03638e-05 1.845635e-11 2.03638e-05 -1.37806e-13
0.75 0.0 0.0 -2.87455e-05 2.587838e-11 2.874544e-05 -2.84328e-13
0.8 0.0 0.0 -3.77507e-05 3.53138e-11 3.775064e-05 -6.31717e-13
0.85 0.0 0.0 -4.72062e-05 4.742328e-11 4.720614e-05 -1.50802e-12
0.9 0.0 0.0 -5.70032e-05 6.344295e-11 5.700317e-05 -3.76238e-12
0.95 0.0 0.0 -6.70682e-05 8.592318e-11 6.706809e-05 -9.49818e-12
1.0 0.0 0.0 -7.73486e-05 1.201946e-10 7.734851e-05 -2.35302e-11
